SELECT 44690546
CREATE INDEX
 platform | partition | upperid |   lowerid   | count |   eid    
       29 |        -1 |  728239 |   -37807400 |     2 | 35986312
       29 |        -1 |  728239 |   -37696529 |     2 | 35949069
       29 |        -1 |  728239 |   -37696529 |     2 | 35986313
       29 |        -1 |  728239 |   -37432883 |     2 | 35949070
       29 |        -1 |  728239 |   -37432883 |     2 | 35986318
       29 |        -1 |  728378 | -1221299856 |     2 | 35987355
       29 |        -1 |  728378 | -1221299856 |     2 | 36471802
       29 |        -1 |  728378 | -1221188985 |     2 | 35987356
       29 |        -1 |  728378 | -1221188985 |     2 | 36471803
       29 |        -1 |  728378 | -1221094701 |     2 | 35987357
       29 |        -1 |  728378 | -1221094701 |     2 | 36471804
       29 |        -1 |  728378 | -1220964624 |     2 | 35987358
       29 |        -1 |  728378 | -1220964624 |     2 | 36471805
       29 |        -1 |  728378 | -1220774310 |     2 | 35987359
       29 |        -1 |  728378 | -1220774310 |     2 | 36471806
       29 |        -1 |  728378 | -1220761215 |     2 | 35987360
       29 |        -1 |  728378 | -1220761215 |     2 | 36471807
       29 |        -1 |  728378 | -1220738517 |     2 | 35987361
       29 |        -1 |  728378 | -1220738517 |     2 | 36471808
       29 |        -1 |  728378 | -1220597091 |     2 | 35987362
       29 |        -1 |  728378 | -1220597091 |     2 | 36471809
       29 |        -1 |  728378 | -1220507172 |     2 | 35987363
       29 |        -1 |  728378 | -1220507172 |     2 | 36471810
       29 |        -1 |  728378 | -1220427729 |     2 | 35987364
       29 |        -1 |  728378 | -1220427729 |     2 | 36471811
       29 |        -1 |  728378 | -1220393682 |     2 | 35987365
       29 |        -1 |  728378 | -1220393682 |     2 | 36471812
       29 |        -1 |  728378 | -1220309001 |     2 | 35987366
       29 |        -1 |  728378 | -1220309001 |     2 | 36471813
       29 |        -1 |  728378 | -1220308128 |     2 | 35987367
       29 |        -1 |  728378 | -1220308128 |     2 | 36471814
       29 |        -1 |  728378 | -1220288049 |     2 | 35987368
       29 |        -1 |  728378 | -1220288049 |     2 | 36471815
       29 |        -1 |  728378 | -1220225193 |     2 | 35987369
       29 |        -1 |  728378 | -1220225193 |     2 | 36471816
       29 |        -1 |  728378 | -1220205114 |     2 | 35987370
       29 |        -1 |  728378 | -1220205114 |     2 | 36471817
       29 |        -1 |  728378 | -1220130909 |     2 | 35987371
       29 |        -1 |  728378 | -1220130909 |     2 | 36471818
       29 |        -1 |  728378 | -1220122179 |     2 | 35987372
       29 |        -1 |  728378 | -1220122179 |     2 | 36471819
       29 |        -1 |  728378 | -1220027022 |     2 | 35987373
       29 |        -1 |  728378 | -1220027022 |     2 | 36471820
       29 |        -1 |  728378 | -1219969404 |     2 | 35987374
       29 |        -1 |  728378 | -1219969404 |     2 | 36471821
       29 |        -1 |  728378 | -1219761630 |     2 | 35987375
       29 |        -1 |  728378 | -1219761630 |     2 | 36471822
       29 |        -1 |  728378 | -1219724964 |     2 | 35987376
       29 |        -1 |  728378 | -1219724964 |     2 | 36471823
       29 |        -1 |  728378 | -1219495365 |     2 | 35987377
       29 |        -1 |  728378 | -1219495365 |     2 | 36471824
       29 |        -1 |  728378 | -1219445604 |     2 | 35987378
       29 |        -1 |  728378 | -1219445604 |     2 | 36471825
       29 |        -1 |  728378 | -1219431636 |     2 | 35987379
       29 |        -1 |  728378 | -1219431636 |     2 | 36471826
       29 |        -1 |  728378 | -1219338225 |     2 | 35987380
       29 |        -1 |  728378 | -1219338225 |     2 | 36471827
       29 |        -1 |  728378 | -1219288464 |     2 | 35987381
       29 |        -1 |  728378 | -1219288464 |     2 | 36471828
       29 |        -1 |  728378 | -1219229973 |     2 | 35987382
       29 |        -1 |  728378 | -1219229973 |     2 | 36471829
       29 |        -1 |  728378 | -1219188942 |     2 | 35987383
       29 |        -1 |  728378 | -1219188942 |     2 | 36471830
       29 |        -1 |  728378 | -1219176720 |     2 | 35987384
       29 |        -1 |  728378 | -1219176720 |     2 | 36471831
       29 |        -1 |  728378 | -1219098150 |     2 | 35987385
       29 |        -1 |  728378 | -1219098150 |     2 | 36471832
       29 |        -1 |  728378 | -1219087674 |     2 | 35987386
       29 |        -1 |  728378 | -1219087674 |     2 | 36471833
       29 |        -1 |  728378 | -1219055373 |     2 | 35987387
       29 |        -1 |  728378 | -1219055373 |     2 | 36471834
       29 |        -1 |  728378 | -1219050135 |     2 | 35987388
       29 |        -1 |  728378 | -1219050135 |     2 | 36471835
       29 |        -1 |  728378 | -1218974184 |     2 | 35987389
       29 |        -1 |  728378 | -1218974184 |     2 | 36471836
       29 |        -1 |  728378 | -1218909582 |     2 | 35987390
       29 |        -1 |  728378 | -1218909582 |     2 | 36471837
       29 |        -1 |  728378 | -1218888630 |     2 | 35987391
       29 |        -1 |  728378 | -1218888630 |     2 | 36471838
       29 |        -1 |  728378 | -1218861567 |     2 | 35987392
       29 |        -1 |  728378 | -1218861567 |     2 | 36471839
       29 |        -1 |  728378 | -1218592683 |     2 | 35987393
       29 |        -1 |  728378 | -1218592683 |     2 | 36471840
       29 |        -1 |  728378 | -1218365703 |     2 | 35987394
       29 |        -1 |  728378 | -1218365703 |     2 | 36471841
       29 |        -1 |  728378 | -1218186738 |     2 | 35987395
       29 |        -1 |  728378 | -1218186738 |     2 | 36471842
       29 |        -1 |  728378 | -1218129993 |     2 | 35987396
       29 |        -1 |  728378 | -1218129993 |     2 | 36471843
       29 |        -1 |  728378 | -1218110787 |     2 | 35987397
       29 |        -1 |  728378 | -1218110787 |     2 | 36471844
       29 |        -1 |  728378 | -1218047058 |     2 | 35987398
       29 |        -1 |  728378 | -1218047058 |     2 | 36471845
       29 |        -1 |  728378 | -1218018249 |     2 | 35987399
       29 |        -1 |  728378 | -1218018249 |     2 | 36471846
       29 |        -1 |  728378 | -1217992932 |     2 | 35987400
       29 |        -1 |  728378 | -1217992932 |     2 | 36471847
       29 |        -1 |  728378 | -1217935314 |     2 | 35987401
       29 |        -1 |  728378 | -1217935314 |     2 | 36471848
       29 |        -1 |  728378 | -1217907378 |     2 | 35987402
       29 |        -1 |  728378 | -1217907378 |     2 | 36471849
       29 |        -1 |  728378 | -1217696112 |     2 | 35987403
       29 |        -1 |  728378 | -1217696112 |     2 | 36471850
       29 |        -1 |  728378 | -1217596590 |     2 | 35987404
       29 |        -1 |  728378 | -1217596590 |     2 | 36471851
       29 |        -1 |  728378 | -1217590479 |     2 | 35987405
       29 |        -1 |  728378 | -1217590479 |     2 | 36471852
       29 |        -1 |  728378 | -1217518020 |     2 | 35987406
       29 |        -1 |  728378 | -1217518020 |     2 | 36471853
       29 |        -1 |  728378 | -1217517147 |     2 | 35987407
       29 |        -1 |  728378 | -1217517147 |     2 | 36471854
       29 |        -1 |  728378 | -1217266596 |     2 | 35987408
       29 |        -1 |  728378 | -1217266596 |     2 | 36471855
       29 |        -1 |  728378 | -1217221200 |     2 | 35987409
       29 |        -1 |  728378 | -1217221200 |     2 | 36471856
       29 |        -1 |  728378 | -1217103345 |     2 | 35987410
       29 |        -1 |  728378 | -1217103345 |     2 | 36471857
       29 |        -1 |  728378 | -1216839699 |     2 | 35987411
       29 |        -1 |  728378 | -1216839699 |     2 | 36471858
       29 |        -1 |  728378 | -1216826604 |     2 | 35987412
       29 |        -1 |  728378 | -1216826604 |     2 | 36471859
       29 |        -1 |  728378 | -1216694781 |     2 | 35987413
       29 |        -1 |  728378 | -1216694781 |     2 | 36471860
       29 |        -1 |  728378 | -1216445976 |     2 | 35987414
       29 |        -1 |  728378 | -1216445976 |     2 | 36471861
       29 |        -1 |  728378 | -1216383993 |     2 | 35987415
       29 |        -1 |  728378 | -1216383993 |     2 | 36471862
       29 |        -1 |  728378 | -1216350819 |     2 | 35987416
       29 |        -1 |  728378 | -1216350819 |     2 | 36471863
       29 |        -1 |  728378 | -1216319391 |     2 | 35987417
       29 |        -1 |  728378 | -1216319391 |     2 | 36471864
       29 |        -1 |  728378 | -1216301058 |     2 | 35987418
       29 |        -1 |  728378 | -1216301058 |     2 | 36471865
       29 |        -1 |  728378 | -1216076697 |     2 | 35987419
       29 |        -1 |  728378 | -1216076697 |     2 | 36471866
       29 |        -1 |  728378 | -1216025190 |     2 | 35987420
       29 |        -1 |  728378 | -1216025190 |     2 | 36471867
       29 |        -1 |  728378 | -1215969318 |     2 | 35987421
       29 |        -1 |  728378 | -1215969318 |     2 | 36471868
       29 |        -1 |  728378 | -1215927414 |     2 | 35987422
       29 |        -1 |  728378 | -1215927414 |     2 | 36471869
       29 |        -1 |  728378 | -1215772020 |     2 | 35987423
       29 |        -1 |  728378 | -1215772020 |     2 | 36471870
       29 |        -1 |  728378 | -1215641943 |     2 | 35987424
       29 |        -1 |  728378 | -1215641943 |     2 | 36471871
       29 |        -1 |  728378 | -1215490041 |     2 | 35987425
       29 |        -1 |  728378 | -1215490041 |     2 | 36471872
       29 |        -1 |  728378 | -1215433296 |     2 | 35987426
       29 |        -1 |  728378 | -1215433296 |     2 | 36471873
       29 |        -1 |  728378 | -1215356472 |     2 | 35987427
       29 |        -1 |  728378 | -1215356472 |     2 | 36471874
       29 |        -1 |  728378 | -1215249966 |     2 | 35987428
       29 |        -1 |  728378 | -1215249966 |     2 | 36471875
       29 |        -1 |  728378 | -1215243855 |     2 | 35987429
       29 |        -1 |  728378 | -1215243855 |     2 | 36471876
       29 |        -1 |  728378 | -1215071001 |     2 | 35987430
       29 |        -1 |  728378 | -1215071001 |     2 | 36471877
       29 |        -1 |  728378 | -1215070128 |     2 | 35987431
       29 |        -1 |  728378 | -1215070128 |     2 | 36471878
       29 |        -1 |  728378 | -1214918226 |     2 | 35987432
       29 |        -1 |  728378 | -1214918226 |     2 | 36471879
       29 |        -1 |  728378 | -1214798625 |     2 | 35987433
       29 |        -1 |  728378 | -1214798625 |     2 | 36471880
(294 rows)

