eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
220,Dstarstar_res,Dstarl,NoTau,NoTau
221,Dl,Had,NoTau,NoTau
222,Had,Dstarl,NoTau,NoTau
223,Dstarstar_res,Dl,NoTau,NoTau
224,Had,Dl,NoTau,NoTau
225,Dl,Dstarl,NoTau,NoTau
226,Dstarl,Dstarl,NoTau,NoTau
227,Dstarl,Dstarl,NoTau,NoTau
228,Had,Dstarl,NoTau,NoTau
229,Dstarl,Had,NoTau,NoTau
230,Dtau,Had,tau_h,NoTau
231,Dstarl,Had,NoTau,NoTau
232,Dstarstar_res,Had,NoTau,NoTau
233,Dstarl,Dl,NoTau,NoTau
234,Dstarl,Had,NoTau,NoTau
235,Had,Dstarl,NoTau,NoTau
236,Dstarl,Had,NoTau,NoTau
237,Dstarstar_res,Dstarl,NoTau,NoTau
238,Had,Dstarl,NoTau,NoTau
239,Dl,Had,NoTau,NoTau
240,Had,Had,NoTau,NoTau
241,Dstarstar_res,Dstarl,NoTau,NoTau
242,Dl,Dstarl,NoTau,NoTau
243,Dstarl,Had,NoTau,NoTau
244,Dl,Dstarstar_res,NoTau,NoTau
245,Dstarstar_res,Dstarl,NoTau,NoTau
246,Dstarl,Dl,NoTau,NoTau
247,Had,Had,NoTau,NoTau
248,Dstarl,Dstarl,NoTau,NoTau
249,Dl,Dstarl,NoTau,NoTau
250,Had,Dstarl,NoTau,NoTau
251,Dstarl,Dstarl,NoTau,NoTau
252,Dl,Had,NoTau,NoTau
253,Dstarl,Dstarstar_res,NoTau,tau_mu
254,Dtau,Had,tau_h,NoTau
255,Dstarl,Dstarl,NoTau,NoTau
256,Dstarstar_res,Had,NoTau,NoTau
257,Dstarl,Had,NoTau,NoTau
258,Dstarl,Dl,NoTau,NoTau
259,Had,Dstarstar_res,NoTau,NoTau
260,Dstarl,Dl,NoTau,NoTau
261,Dstarstar_res,Dstarstar_res,NoTau,NoTau
262,Dl,Dstarl,NoTau,NoTau
263,Had,Had,NoTau,NoTau
264,Had,Dl,NoTau,NoTau
265,Dstarl,Had,NoTau,NoTau
266,Dstarl,Had,NoTau,NoTau
267,Dl,Dstarl,NoTau,NoTau
